epoch,val/mAP_50_95_baseline,val/ema_mAP_50_95_baseline,val/mAP_50_baseline,val/mAP_75_baseline,val/mAR_baseline,val/loss_baseline,val/precision_baseline,val/recall_baseline,val/F1_baseline,val/mAP_50_95_temporal,val/ema_mAP_50_95_temporal,val/mAP_50_temporal,val/mAP_75_temporal,val/mAR_temporal,val/loss_temporal,val/precision_temporal,val/recall_temporal,val/F1_temporal,delta_val/mAP_50_95,delta_val/ema_mAP_50_95,delta_val/mAP_50,delta_val/mAP_75,delta_val/mAR,delta_val/loss,delta_val/precision,delta_val/recall,delta_val/F1
0,0.7338762879371643,0.7513707280158997,0.9496435523033142,0.8404185175895691,0.7880458235740662,3.3144984245300293,0.9868574738502502,0.9222161769866944,0.9534424543380736,0.7054932713508606,0.7436456680297852,0.9472758173942566,0.8035658001899719,0.7533569931983948,3.5149378776550293,0.982583463191986,0.9238536953926086,0.9523139595985411,-0.02838301658630371,-0.007725059986114502,-0.002367734909057617,-0.03685271739959717,-0.03468883037567139,0.200439453125,-0.004274010658264271,0.0016375184059141956,-0.0011284947395324707
1,0.7147172689437866,0.7525035738945007,0.9459499716758728,0.784788966178894,0.7665120363235474,3.548329591751098,0.9874562621116638,0.9238536953926086,0.954596757888794,0.7527180910110474,0.7610365748405457,0.949401557445526,0.8406364917755127,0.7925218343734741,3.120746612548828,0.9863411784172058,0.9263100624084472,0.9553835391998292,0.03800082206726074,0.008533000946044922,0.0034515857696532093,0.05584752559661865,0.026009798049926758,-0.42758297920227006,-0.0011150836944580078,0.002456367015838512,0.0007867813110352673
2,0.760470449924469,0.7549004554748535,0.9474571347236632,0.8469809293746948,0.8077238202095032,2.9253814220428467,0.9855407476425172,0.9301310181617736,0.9570345282554626,0.7597103714942932,0.76027512550354,0.9477407336235046,0.8495296835899353,0.801091730594635,2.91070556640625,0.9909276962280272,0.9241266250610352,0.9563620686531068,-0.0007600784301757812,0.0053746700286865234,0.0002835988998414196,0.0025487542152404785,-0.006632089614868164,-0.01467585563659668,0.005386948585510032,-0.006004393100738414,-0.000672459602355846
3,0.7478875517845154,0.7602666616439819,0.9467823505401612,0.8275195360183716,0.8013646006584167,3.117142915725708,0.986585021018982,0.9233078360557556,0.9538981914520264,0.7613030672073364,0.7638217210769653,0.9454359412193298,0.8473885655403137,0.7983078360557556,3.0291953086853027,0.9880151748657228,0.9224891066551208,0.9541284441947936,0.013415515422821045,0.0035550594329833984,-0.0013464093208314099,0.01986902952194214,-0.003056764602661133,-0.08794760704040527,0.0014301538467407227,-0.0008187294006347656,0.00023025274276722296
4,0.7554460167884827,0.7598550915718079,0.941448450088501,0.8379912376403809,0.8074508905410767,2.990819931030273,0.9842703342437744,0.9222161769866944,0.9522333145141602,0.7412525415420532,0.7580609917640686,0.939568042755127,0.8236452341079712,0.7926310300827026,3.210698366165161,0.9883177280426024,0.923580765724182,0.9548532962799072,-0.014193475246429443,-0.0017940998077392578,-0.0018804073333740234,-0.014346003532409668,-0.014819860458374023,0.21987843513488814,0.004047393798828014,0.001364588737487571,0.0026199817657470703
5,0.7539551854133606,0.7635015249252319,0.9406614303588868,0.8365564942359924,0.7985262274742126,3.066024780273437,0.9888888597488404,0.9230349063873292,0.9548277854919434,0.7605137825012207,0.7660936117172241,0.9426700472831726,0.8541834950447083,0.8019923567771912,2.998795986175537,0.9885898232460022,0.9222161769866944,0.9542502164840698,0.006558597087860107,0.0025920867919921875,0.0020086169242857776,0.01762700080871582,0.0034661293029785156,-0.06722879409789995,-0.0002990365028382458,-0.0008187294006347656,-0.0005775690078735352
6,0.7541543841362,0.7569776773452759,0.93759685754776,0.8288527131080627,0.7964246869087219,3.0055294036865234,0.9874342679977416,0.9222161769866944,0.9537115693092346,0.7476155161857605,0.7634669542312622,0.9402471780776978,0.8388866186141968,0.7926310300827026,3.145718574523926,0.990067183971405,0.9249454140663148,0.9563990235328674,-0.006538867950439453,0.006489276885986328,0.002650320529937744,0.010033905506134033,-0.003793656826019287,0.14018917083740234,0.002632915973663441,0.0027292370796203613,0.0026874542236328125
7,0.7531972527503967,0.7542765736579895,0.9359400868415833,0.8406861424446106,0.8034934401512146,3.130406856536865,0.9865339398384094,0.9197598099708556,0.9519773721694946,0.7569761872291565,0.7628878355026245,0.9405942559242249,0.840300977230072,0.7996178865432739,3.036515235900879,0.9894366264343262,0.9203056693077089,0.95361989736557,0.0037789344787597656,0.00861126184463501,0.0046541690826416016,-0.0003851652145385742,-0.003875553607940674,-0.09389162063598588,0.002902686595916748,0.0005458593368532494,0.0016425251960753284
8,0.7533676028251648,0.75351881980896,0.9370694160461426,0.8277856707572937,0.8051583170890808,3.0525381565093994,0.987119436264038,0.9203056693077089,0.9525423645973206,0.7607919573783875,0.761981189250946,0.9430646300315856,0.8448476791381836,0.8038755655288696,2.850533962249756,0.9894829392433168,0.9243995547294616,0.9558346271514891,0.007424354553222656,0.008462369441986084,0.005995213985443004,0.017062008380889893,-0.0012827515602111816,-0.20200419425964355,0.0023635029792787865,0.004093885421752708,0.00329226255416859
9,0.7523198127746582,0.7539964318275452,0.9363104104995728,0.828952431678772,0.8051856160163879,2.981276035308838,0.9868497848510742,0.9216703176498412,0.9531470537185668,0.7612253427505493,0.762120246887207,0.9429619312286376,0.8407092094421387,0.8024563193321228,2.876070737838745,0.9920751452445984,0.9224891066551208,0.9560175538063048,0.008905529975891113,0.008123815059661865,0.00665152072906483,0.0117567777633667,-0.0027292966842651367,-0.10520529747009277,0.00522536039352417,0.000818789005279652,0.002870500087738037
